Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,,
Austria,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
Belgium,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
Canada,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Denmark,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
Finland,2,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,,
France,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Germany,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,nan,,
Greece,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,,
Hungary,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,,
Ireland,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,,
Italy,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
Japan,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
Netherlands,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
New Zealand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,nan,,
Norway,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
Poland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Portugal,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Spain,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,,
Sweden,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,nan,,
Switzerland,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,nan,,
Turkey,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
